year,month,region,filesize
1970,05,at,3763
1970,05,bo,3968
1970,05,ch,4917
1970,05,cl,4270
1970,05,da,4871
1970,05,kc,3942
1970,05,mi,5872
1970,05,ny,3564
1970,05,ph,3629
1970,05,ri,3717
1970,05,sf,4728
1970,05,sl,2890
1970,05,su,2075
1970,06,at,4027
1970,06,bo,5808
1970,06,ch,5473
1970,06,cl,4997
1970,06,da,5658
1970,06,kc,4364
1970,06,mi,4802
1970,06,ny,5329
1970,06,ph,2731
1970,06,ri,4652
1970,06,sf,5443
1970,06,sl,4233
1970,06,su,5792
1970,07,at,4064
1970,07,bo,3749
1970,07,ch,4517
1970,07,cl,4410
1970,07,da,4361
1970,07,kc,5498
1970,07,mi,5149
1970,07,ny,6123
1970,07,ph,2655
1970,07,ri,4911
1970,07,sf,3542
1970,07,sl,3701
1970,07,su,5463
1970,08,at,4313
1970,08,bo,3214
1970,08,ch,4065
1970,08,cl,4569
1970,08,da,4623
1970,08,kc,5403
1970,08,mi,5016
1970,08,ny,3745
1970,08,ph,2539
1970,08,ri,4506
1970,08,sf,3718
1970,08,sl,3555
1970,08,su,3427
1970,09,at,4034
1970,09,bo,4975
1970,09,ch,5441
1970,09,cl,3319
1970,09,da,4755
1970,09,kc,3856
1970,09,mi,4791
1970,09,ny,4177
1970,09,ph,2130
1970,09,ri,4301
1970,09,sf,4544
1970,09,sl,3393
1970,09,su,2003
1970,10,at,3734
1970,10,bo,3757
1970,10,ch,5038
1970,10,cl,3983
1970,10,da,4308
1970,10,kc,5157
1970,10,mi,4951
1970,10,ny,4698
1970,10,ph,1927
1970,10,ri,4279
1970,10,sf,4664
1970,10,sl,3165
1970,10,su,4746
1970,11,at,4652
1970,11,bo,6056
1970,11,ch,4614
1970,11,cl,4480
1970,11,da,5157
1970,11,kc,5222
1970,11,mi,4874
1970,11,ny,4320
1970,11,ph,3736
1970,11,ri,4210
1970,11,sf,4272
1970,11,sl,4023
1970,11,su,4609
1970,12,at,5595
1970,12,bo,4311
1970,12,ch,4445
1970,12,cl,3907
1970,12,da,5576
1970,12,kc,3734
1970,12,mi,4810
1970,12,ny,4533
1970,12,ph,4922
1970,12,ri,4613
1970,12,sf,4239
1970,12,sl,2900
1970,12,su,6144
1971,01,at,4634
1971,01,bo,52
1971,01,ch,3562
1971,01,cl,3854
1971,01,da,3793
1971,01,kc,5050
1971,01,mi,4607
1971,01,ny,3224
1971,01,ph,3503
1971,01,ri,4229
1971,01,sf,4015
1971,01,sl,3308
1971,01,su,4985
1971,02,at,3197
1971,02,bo,2899
1971,02,ch,4020
1971,02,cl,3951
1971,02,da,3847
1971,02,kc,4639
1971,02,mi,4658
1971,02,ny,3836
1971,02,ph,3424
1971,02,ri,4157
1971,02,sf,4727
1971,02,sl,3315
1971,02,su,4585
1971,03,at,2615
1971,03,bo,4510
1971,03,ch,4666
1971,03,cl,5813
1971,03,da,4857
1971,03,kc,5180
1971,03,mi,4184
1971,03,ny,4939
1971,03,ph,3431
1971,03,ri,3427
1971,03,sf,3851
1971,03,sl,3513
1971,03,su,3674
1971,04,at,3328
1971,04,bo,4101
1971,04,ch,3801
1971,04,cl,3902
1971,04,da,3382
1971,04,kc,5840
1971,04,mi,4794
1971,04,ny,3960
1971,04,ph,4181
1971,04,ri,3796
1971,04,sf,4987
1971,04,sl,3180
1971,04,su,3854
1971,05,at,5947
1971,05,bo,4220
1971,05,ch,5739
1971,05,cl,4154
1971,05,da,3810
1971,05,kc,5197
1971,05,mi,3798
1971,05,ny,4233
1971,05,ph,3944
1971,05,ri,3839
1971,05,sf,3393
1971,05,sl,3855
1971,05,su,5304
1971,06,at,3981
1971,06,bo,3853
1971,06,ch,4525
1971,06,cl,2474
1971,06,da,4111
1971,06,kc,4167
1971,06,mi,3620
1971,06,ny,4409
1971,06,ph,3368
1971,06,ri,2667
1971,06,sf,3780
1971,06,sl,3763
1971,06,su,4663
1971,07,at,4050
1971,07,bo,4247
1971,07,ch,5606
1971,07,cl,3838
1971,07,da,5213
1971,07,kc,4453
1971,07,mi,4862
1971,07,ny,4815
1971,07,ph,3598
1971,07,ri,3212
1971,07,sf,3808
1971,07,sl,3358
1971,07,su,4564
1971,08,at,4030
1971,08,bo,6115
1971,08,ch,4580
1971,08,cl,4617
1971,08,da,4018
1971,08,kc,5582
1971,08,mi,3859
1971,08,ny,4224
1971,08,ph,2109
1971,08,ri,3223
1971,08,sf,4772
1971,08,sl,3215
1971,08,su,5703
1971,09,at,3636
1971,09,bo,5519
1971,09,ch,3964
1971,09,cl,5012
1971,09,da,4860
1971,09,kc,5167
1971,09,mi,4362
1971,09,ny,4630
1971,09,ph,2952
1971,09,ri,3252
1971,09,sf,3722
1971,09,sl,3361
1971,09,su,4234
1971,10,at,4260
1971,10,bo,5398
1971,10,ch,4481
1971,10,cl,2519
1971,10,da,5024
1971,10,kc,4645
1971,10,mi,4902
1971,10,ny,3330
1971,10,ph,2666
1971,10,ri,3992
1971,10,sf,3456
1971,10,sl,3477
1971,10,su,4168
1971,11,at,4242
1971,11,bo,5406
1971,11,ch,4361
1971,11,cl,4088
1971,11,da,4613
1971,11,kc,4419
1971,11,mi,3972
1971,11,ny,4258
1971,11,ph,3233
1971,11,ri,3682
1971,11,sf,3830
1971,11,sl,3442
1971,11,su,3407
1971,12,at,3330
1971,12,bo,4997
1971,12,ch,4799
