year,month,region,v_com,v_neg,v_neu,v_pos,t_sub,t_pol,f_score
1970,05,at,0.3071,0.066,0.871,0.063,0.42334193584193563,0.08660957098457098,-0.9994497895240784
1970,05,bo,0.8266,0.086,0.825,0.089,0.41601182314417595,0.034886696228608,-0.9998764991760254
1970,05,ch,0.122,0.099,0.811,0.091,0.44375326501908785,0.08809825195901147,-0.9982472658157349
1970,05,cl,0.8921,0.077,0.84,0.083,0.3976201430148798,0.02334173501936659,-0.9995879530906677
1970,05,da,0.4478,0.082,0.834,0.084,0.402003710575139,0.055607915893630185,-0.9979978203773499
1970,05,kc,0.9579,0.093,0.785,0.123,0.4503302549302548,0.06988330928330928,-0.7377228736877441
1970,05,mi,-0.9688,0.073,0.879,0.048,0.3093893480257115,-0.013251016660107574,-0.9995173215866089
1970,05,ny,0.2837,0.088,0.816,0.096,0.4209455580651233,0.13054324298889516,-0.9992051720619202
1970,05,ph,-0.9835,0.085,0.873,0.042,0.368799357208448,0.058607831562377026,-0.9997050166130066
1970,05,ri,-0.2049,0.054,0.89,0.056,0.3836185837971552,0.05709918058132344,-0.9996496438980103
1970,05,sf,0.965,0.09,0.788,0.123,0.41243875442739064,0.08857524104683197,-0.9971666932106018
1970,05,sl,0.9763,0.04,0.874,0.086,0.4320671834625323,0.12229328165374675,-0.9990248680114746
1970,05,su,-0.6848,0.088,0.85,0.062,0.32097680097680104,0.07279761904761903,-0.9305939078330994
1970,06,at,0.8689,0.057,0.882,0.061,0.45277186147186144,0.04332012987012988,-0.9999035596847534
1970,06,bo,0.9509,0.065,0.852,0.083,0.4317016250944822,0.08490126606198034,-0.955815315246582
1970,06,ch,-0.9262,0.086,0.847,0.067,0.3977841206412634,0.014816136244707673,-0.9990317821502686
1970,06,cl,0.6624,0.07,0.854,0.076,0.41769863639761584,0.06495251347292164,-0.9985427856445312
1970,06,da,0.9532,0.056,0.867,0.077,0.3767021661466105,0.07399029982363316,-0.9863879680633545
1970,06,kc,0.9965,0.033,0.835,0.132,0.4464897091212879,0.11656209652920181,-0.7352463006973267
1970,06,mi,-0.2653,0.062,0.88,0.058,0.4013057009325665,0.06569614050957334,-0.9997163414955139
1970,06,ny,-0.7956,0.076,0.852,0.071,0.4207042022603246,0.08865811909179257,-0.99989914894104
1970,06,ph,-0.9901,0.132,0.815,0.053,0.4390964062392634,0.0624594585308871,-0.9998563528060913
1970,06,ri,-0.9918,0.108,0.845,0.046,0.45715756465756463,0.07234293484293483,-0.9998119473457336
1970,06,sf,-0.9503,0.085,0.86,0.055,0.4088942561503537,0.08743598880794004,-0.9993976354598999
1970,06,sl,0.9955,0.052,0.819,0.129,0.3828916900093372,0.060063492063492034,-0.9187403321266174
1970,06,su,0.4302,0.067,0.863,0.07,0.4291111611161116,0.10244963782092492,-0.9988906979560852
1970,07,at,0.9012,0.067,0.858,0.076,0.421932966023875,0.08126459399186672,-0.9998630285263062
1970,07,bo,0.9771,0.064,0.831,0.105,0.3849457209457208,0.05577181152181152,-0.9839348196983337
1970,07,ch,-0.9647,0.11,0.81,0.08,0.3554513740228025,0.05636871065442491,-0.9969819188117981
