DATE,WILL5000INDFC_PC1
1972-01-01,15.23810
1972-02-01,16.82243
1972-03-01,12.50000
1972-04-01,9.48276
1972-05-01,16.07143
1972-06-01,12.38938
1972-07-01,16.51376
1972-08-01,15.92920
1972-09-01,16.07143
1972-10-01,21.29630
1972-11-01,26.85185
1972-12-01,17.79661
1973-01-01,11.57025
1973-02-01,3.20000
1973-03-01,1.58730
1973-04-01,-3.93701
1973-05-01,-8.46154
1973-06-01,-7.08661
1973-07-01,-1.57480
1973-08-01,-7.63359
1973-09-01,-2.30769
1973-10-01,-2.29008
1973-11-01,-18.24818
1973-12-01,-18.70504
1974-01-01,-15.55556
1974-02-01,-11.62791
1974-03-01,-13.28125
1974-04-01,-13.11475
1974-05-01,-15.12605
1974-06-01,-16.10169
1974-07-01,-26.40000
1974-08-01,-30.57851
1974-09-01,-41.73228
1974-10-01,-32.03125
1974-11-01,-25.89286
1974-12-01,-28.31858
1975-01-01,-18.42105
1975-02-01,-13.15789
1975-03-01,-9.00901
1975-04-01,0.00000
1975-05-01,10.89109
1975-06-01,19.19192
1975-07-01,20.65217
1975-08-01,28.57143
1975-09-01,40.54054
1975-10-01,26.43678
1975-11-01,36.14458
1975-12-01,38.27160
1976-01-01,35.48387
1976-02-01,28.28283
1976-03-01,28.71287
1976-04-01,21.69811
1976-05-01,14.28571
1976-06-01,12.71186
1976-07-01,19.81982
1976-08-01,22.22222
1976-09-01,30.76923
1976-10-01,20.90909
1976-11-01,18.58407
1976-12-01,26.78571
1977-01-01,8.73016
1977-02-01,6.29921
1977-03-01,3.07692
1977-04-01,4.65116
1977-05-01,3.90625
1977-06-01,5.26316
1977-07-01,3.75940
1977-08-01,3.03030
1977-09-01,0.00000
1977-10-01,-1.50376
1977-11-01,2.23881
1977-12-01,-2.81690
1978-01-01,-4.37956
1978-02-01,-4.44444
1978-03-01,0.00000
1978-04-01,7.40741
1978-05-01,11.27820
1978-06-01,5.00000
1978-07-01,12.31884
1978-08-01,19.11765
1978-09-01,18.38235
1978-10-01,9.92366
1978-11-01,8.02920
1978-12-01,9.42029
1979-01-01,20.61069
1979-02-01,20.15504
1979-03-01,23.13433
1979-04-01,15.17241
1979-05-01,10.81081
1979-06-01,17.68707
1979-07-01,12.90323
1979-08-01,14.81481
1979-09-01,16.14907
1979-10-01,20.83333
1979-11-01,25.00000
1979-12-01,25.03311
1980-01-01,24.71368
1980-02-01,32.87097
1980-03-01,12.61183
1980-04-01,9.09609
1980-05-01,16.75377
1980-06-01,18.79989
1980-07-01,23.53247
1980-08-01,21.37737
1980-09-01,25.41380
1980-10-01,39.93003
1980-11-01,36.99700
1980-12-01,32.39118
1981-01-01,26.05123
1981-02-01,16.94203
1981-03-01,35.20689
1981-04-01,41.00889
1981-05-01,33.51529
1981-06-01,26.17428
1981-07-01,17.19933
1981-08-01,13.01413
1981-09-01,-1.19797
1981-10-01,-3.25812
1981-11-01,-3.62779
1981-12-01,-1.52755
1982-01-01,-6.27301
1982-02-01,-6.03147
1982-03-01,-12.79332
1982-04-01,-10.34291
1982-05-01,-9.05535
1982-06-01,-15.26731
1982-07-01,-13.60056
1982-08-01,-13.72035
1982-09-01,6.49404
1982-10-01,13.91998
1982-11-01,16.27431
1982-12-01,16.69437
1983-01-01,28.41597
1983-02-01,35.81395
1983-03-01,46.00119
1983-04-01,44.44284
1983-05-01,51.02919
1983-06-01,64.41870
1983-07-01,65.84838
1983-08-01,59.97989
1983-09-01,47.31764
1983-10-01,34.85359
1983-11-01,25.70423
1983-12-01,24.09287
1984-01-01,20.67537
1984-02-01,9.99829
1984-03-01,5.98070
1984-04-01,1.74331
1984-05-01,-3.74288
1984-06-01,-8.04994
1984-07-01,-9.68055
1984-08-01,1.51852
1984-09-01,-0.01379
1984-10-01,-0.18881
1984-11-01,2.29425
1984-12-01,1.57715
1985-01-01,5.57202
1985-02-01,20.16065
1985-03-01,19.10381
1985-04-01,20.37701
1985-05-01,23.91070
1985-06-01,29.39865
1985-07-01,34.35165
1985-08-01,21.20051
1985-09-01,16.82595
1985-10-01,18.49043
1985-11-01,24.78420
1985-12-01,32.38108
1986-01-01,27.38990
1986-02-01,26.15624
1986-03-01,34.72049
1986-04-01,37.37557
1986-05-01,34.45998
1986-06-01,34.65384
1986-07-01,28.78663
1986-08-01,32.78486
1986-09-01,31.68839
1986-10-01,30.47851
1986-11-01,26.17950
1986-12-01,21.05135
1987-01-01,27.83622
1987-02-01,28.97926
1987-03-01,26.72455
1987-04-01,21.41832
1987-05-01,20.26256
1987-06-01,21.58184
1987-07-01,27.51963
1987-08-01,33.24506
1987-09-01,33.47526
1987-10-01,17.64314
1987-11-01,-0.87826
1987-12-01,-2.96929
1988-01-01,-4.68983
1988-02-01,-7.23129
1988-03-01,-7.39431
1988-04-01,-6.63806
1988-05-01,-8.02440
1988-06-01,-6.46557
1988-07-01,-8.90117
1988-08-01,-15.55198
1988-09-01,-11.75195
1988-10-01,3.40635
1988-11-01,16.53487
1988-12-01,20.43601
1989-01-01,18.95297
1989-02-01,18.75469
1989-03-01,14.24379
1989-04-01,18.70617
1989-05-01,25.93491
1989-06-01,23.26497
1989-07-01,25.88378
1989-08-01,33.96683
1989-09-01,32.50253
1989-10-01,28.55750
1989-11-01,28.83568
1989-12-01,28.67257
1990-01-01,21.09741
1990-02-01,13.73130
1990-03-01,16.55448
1990-04-01,12.41952
1990-05-01,11.61780
1990-06-01,11.48193
1990-07-01,8.85174
1990-08-01,-4.54659
1990-09-01,-9.50565
1990-10-01,-12.75199
1990-11-01,-8.36394
1990-12-01,-5.60523
1991-01-01,-3.70449
1991-02-01,11.24738
1991-03-01,12.29412
1991-04-01,15.81032
1991-05-01,11.64928
1991-06-01,8.55436
1991-07-01,9.33033
1991-08-01,22.88291
1991-09-01,28.85079
1991-10-01,34.35289
1991-11-01,31.18783
1991-12-01,25.92593
1992-01-01,36.80710
1992-02-01,21.97978
1992-03-01,16.35792
1992-04-01,11.97263
1992-05-01,14.27070
1992-06-01,11.86568
1992-07-01,13.01846
1992-08-01,10.72971
1992-09-01,11.26007
1992-10-01,9.55426
1992-11-01,13.18169
1992-12-01,16.12606
1993-01-01,8.35981
1993-02-01,9.62304
1993-03-01,13.08832
1993-04-01,12.60191
1993-05-01,11.95506
1993-06-01,14.87689
1993-07-01,13.83806
1993-08-01,15.01189
1993-09-01,16.33091
1993-10-01,19.25414
1993-11-01,14.30535
1993-12-01,11.25580
1994-01-01,12.35290
1994-02-01,11.05938
1994-03-01,7.90986
1994-04-01,5.26944
1994-05-01,4.68461
1994-06-01,4.56052
1994-07-01,3.13048
1994-08-01,4.21604
1994-09-01,3.75633
1994-10-01,1.59160
1994-11-01,1.53142
1994-12-01,-0.75431
1995-01-01,-0.03835
1995-02-01,3.44629
1995-03-01,6.81038
1995-04-01,14.36254
1995-05-01,17.24029
1995-06-01,20.28526
1995-07-01,26.00847
1995-08-01,23.98570
1995-09-01,27.44225
1995-10-01,28.19052
1995-11-01,31.61122
1995-12-01,37.59087
1996-01-01,33.85943
1996-02-01,36.60643
1996-03-01,33.99693
1996-04-01,31.48686
1996-05-01,31.57334
1996-06-01,28.09074
1996-07-01,17.52818
1996-08-01,19.14734
1996-09-01,17.32265
1996-10-01,21.53420
1996-11-01,23.57870
1996-12-01,21.71163
1997-01-01,25.84504
1997-02-01,22.79976
1997-03-01,21.10467
1997-04-01,15.31275
1997-05-01,21.42252
1997-06-01,27.45029
1997-07-01,41.15869
1997-08-01,38.92417
1997-09-01,38.84296
1997-10-01,36.67659
1997-11-01,29.25954
1997-12-01,30.02444
1998-01-01,25.96648
1998-02-01,29.72050
1998-03-01,37.99669
1998-04-01,48.53894
1998-05-01,35.85956
