year,month,region
1970,01,at
1970,01,bo
1970,01,ch
1970,01,cl
1970,01,da
1970,01,kc
1970,01,mi
1970,01,ny
1970,01,ph
1970,01,ri
1970,01,sf
1970,01,sl
1970,01,su
1970,02,at
1970,02,bo
1970,02,ch
1970,02,cl
1970,02,da
1970,02,kc
1970,02,mi
1970,02,ny
1970,02,ph
1970,02,ri
1970,02,sf
1970,02,sl
1970,02,su
1970,03,at
1970,03,bo
1970,03,ch
1970,03,cl
1970,03,da
1970,03,kc
1970,03,mi
1970,03,ny
1970,03,ph
1970,03,ri
1970,03,sf
1970,03,sl
1970,03,su
1970,04,at
1970,04,bo
1970,04,ch
1970,04,cl
1970,04,da
1970,04,kc
1970,04,mi
1970,04,ny
1970,04,ph
1970,04,ri
1970,04,sf
1970,04,sl
1970,04,su
1972,01,at
1972,01,bo
1972,01,ch
1972,01,cl
1972,01,da
1972,01,kc
1972,01,mi
1972,01,ny
1972,01,ph
1972,01,ri
1972,01,sf
1972,01,sl
1972,01,su
1979,02,at
1979,02,bo
1979,02,ch
1979,02,cl
1979,02,da
1979,02,kc
1979,02,mi
1979,02,ny
1979,02,ph
1979,02,ri
1979,02,sf
1979,02,sl
1979,02,su
1979,06,at
1979,06,bo
1979,06,ch
1979,06,cl
1979,06,da
1979,06,kc
1979,06,mi
1979,06,ny
1979,06,ph
1979,06,ri
1979,06,sf
1979,06,sl
1979,06,su
1979,12,at
1979,12,bo
1979,12,ch
1979,12,cl
1979,12,da
1979,12,kc
1979,12,mi
1979,12,ny
1979,12,ph
1979,12,ri
1979,12,sf
1979,12,sl
1979,12,su
1980,02,at
1980,02,bo
1980,02,ch
1980,02,cl
1980,02,da
1980,02,kc
1980,02,mi
1980,02,ny
1980,02,ph
1980,02,ri
1980,02,sf
1980,02,sl
1980,02,su
1980,06,at
1980,06,bo
1980,06,ch
1980,06,cl
1980,06,da
1980,06,kc
1980,06,mi
1980,06,ny
1980,06,ph
1980,06,ri
1980,06,sf
1980,06,sl
1980,06,su
1981,02,at
1981,02,bo
1981,02,ch
1981,02,cl
1981,02,da
1981,02,kc
1981,02,mi
1981,02,ny
1981,02,ph
1981,02,ri
1981,02,sf
1981,02,sl
1981,02,su
1981,04,at
