year,month,region,filesize
1970,05,at,3766
1970,05,bo,3969
1970,05,ch,4918
1970,05,cl,4271
1970,05,da,4872
1970,05,kc,3943
1970,05,mi,5873
1970,05,ny,3058
1970,05,ph,3630
1970,05,ri,3329
1970,05,sf,4021
1970,05,sl,2891
1970,05,su,2075
1970,06,at,3896
1970,06,bo,5740
1970,06,ch,5474
1970,06,cl,4996
1970,06,da,5659
1970,06,kc,4364
1970,06,mi,4802
1970,06,ny,5330
1970,06,ph,2732
1970,06,ri,4653
1970,06,sf,5446
1970,06,sl,4234
1970,06,su,5793
1970,07,at,4065
1970,07,bo,3750
1970,07,ch,4518
1970,07,cl,4411
1970,07,da,4364
1970,07,kc,5498
1970,07,mi,5150
1970,07,ny,6124
1970,07,ph,2660
1970,07,ri,4912
1970,07,sf,3543
1970,07,sl,3702
1970,07,su,5464
1970,08,at,4314
1970,08,bo,3215
1970,08,ch,4066
1970,08,cl,4570
1970,08,da,4624
1970,08,kc,5404
1970,08,mi,5017
1970,08,ny,3746
1970,08,ph,2540
1970,08,ri,4507
1970,08,sf,3719
1970,08,sl,3556
1970,08,su,3428
1970,09,at,4035
1970,09,bo,4976
1970,09,ch,5442
1970,09,cl,3320
1970,09,da,4756
1970,09,kc,3857
1970,09,mi,4792
1970,09,ny,4178
1970,09,ph,2131
1970,09,ri,4302
1970,09,sf,4545
1970,09,sl,3394
1970,09,su,2004
1970,10,at,3735
1970,10,bo,3757
1970,10,ch,5039
1970,10,cl,3984
1970,10,da,4311
1970,10,kc,5158
1970,10,mi,4952
1970,10,ny,4697
1970,10,ph,1928
1970,10,ri,4280
1970,10,sf,4665
1970,10,sl,3166
1970,10,su,4747
1970,11,at,4652
1970,11,bo,6058
1970,11,ch,4617
1970,11,cl,4481
1970,11,da,5160
1970,11,kc,5223
1970,11,mi,4875
1970,11,ny,4321
1970,11,ph,3737
1970,11,ri,4211
1970,11,sf,4273
1970,11,sl,4024
1970,11,su,4609
1970,12,at,5596
1970,12,bo,4312
1970,12,ch,4446
1970,12,cl,3908
1970,12,da,5577
1970,12,kc,3739
1970,12,mi,4810
1970,12,ny,4534
1970,12,ph,4923
1970,12,ri,4614
1970,12,sf,4240
1970,12,sl,2901
1970,12,su,6145
1971,01,at,4635
1971,01,bo,53
1971,01,ch,3563
1971,01,cl,3855
1971,01,da,3794
1971,01,kc,5051
1971,01,mi,4608
1971,01,ny,3225
1971,01,ph,3503
1971,01,ri,4230
1971,01,sf,4016
1971,01,sl,3309
1971,01,su,4986
1971,02,at,3198
1971,02,bo,2900
1971,02,ch,4021
1971,02,cl,3951
1971,02,da,3847
1971,02,kc,0
1971,02,mi,4658
1971,02,ny,3837
1971,02,ph,3425
1971,02,ri,4158
1971,02,sf,4728
1971,02,sl,3315
1971,02,su,4584
1971,03,at,2616
1971,03,bo,4511
1971,03,ch,4666
1971,03,cl,5814
1971,03,da,4858
1971,03,kc,5181
1971,03,mi,4185
1971,03,ny,4940
1971,03,ph,3432
1971,03,ri,3428
1971,03,sf,3852
1971,03,sl,3512
1971,03,su,3674
1971,04,at,3328
1971,04,bo,4102
1971,04,ch,3802
1971,04,cl,3901
1971,04,da,3382
1971,04,kc,5841
1971,04,mi,4829
1971,04,ny,3961
1971,04,ph,4182
1971,04,ri,3797
1971,04,sf,4987
1971,04,sl,3181
1971,04,su,3855
1971,05,at,5947
1971,05,bo,4220
1971,05,ch,5740
1971,05,cl,4165
1971,05,da,3811
1971,05,kc,4243
1971,05,mi,3799
1971,05,ny,4234
1971,05,ph,3944
1971,05,ri,3840
1971,05,sf,3394
1971,05,sl,3856
1971,05,su,5305
1971,06,at,3981
1971,06,bo,3854
1971,06,ch,4113
1971,06,cl,2474
1971,06,da,4112
1971,06,kc,4168
1971,06,mi,3621
1971,06,ny,4410
1971,06,ph,3369
1971,06,ri,2668
1971,06,sf,3781
1971,06,sl,3764
1971,06,su,4664
1971,07,at,4051
1971,07,bo,4248
1971,07,ch,0
1971,07,cl,3839
1971,07,da,5214
1971,07,kc,3411
1971,07,mi,4863
1971,07,ny,4816
1971,07,ph,3599
1971,07,ri,3213
1971,07,sf,3809
1971,07,sl,3359
1971,07,su,4565
1971,08,at,4029
1971,08,bo,6118
1971,08,ch,4581
