DATE,GDPC1_PCH
1947-04-01,-0.26669
1947-07-01,-0.20650
1947-10-01,1.56421
1948-01-01,1.50426
1948-04-01,1.65066
1948-07-01,0.57290
1948-10-01,0.11174
1949-01-01,-1.37795
1949-04-01,-0.34110
1949-07-01,1.03242
1949-10-01,-0.83928
1950-01-01,3.93012
1950-04-01,3.04984
1950-07-01,3.86439
1950-10-01,1.91476
1951-01-01,1.35816
1951-04-01,1.73274
1951-07-01,2.06098
1951-10-01,0.22024
1952-01-01,1.06855
1952-04-01,0.21539
1952-07-01,0.72187
1952-10-01,3.28420
1953-01-01,1.85885
1953-04-01,0.77298
1953-07-01,-0.56269
1953-10-01,-1.51398
1954-01-01,-0.47801
1954-04-01,0.10899
1954-07-01,1.12936
1954-10-01,1.95668
1955-01-01,2.85625
1955-04-01,1.62718
1955-07-01,1.35048
1955-10-01,0.60032
1956-01-01,-0.38841
1956-04-01,0.82633
1956-07-01,-0.08983
1956-10-01,1.64593
1957-01-01,0.64039
1957-04-01,-0.21910
1957-07-01,0.97988
1957-10-01,-1.03459
1958-01-01,-2.59585
1958-04-01,0.65737
1958-07-01,2.31385
1958-10-01,2.33931
1959-01-01,1.92130
1959-04-01,2.25642
1959-07-01,0.07120
1959-10-01,0.28504
1960-01-01,2.24730
1960-04-01,-0.53939
1960-07-01,0.48927
1960-10-01,-1.28343
1961-01-01,0.67503
1961-04-01,1.69748
1961-07-01,1.91964
1961-10-01,1.96111
1962-01-01,1.78360
1962-04-01,0.90367
1962-07-01,1.22851
1962-10-01,0.32886
1963-01-01,1.09161
1963-04-01,1.12212
1963-07-01,2.19843
1963-10-01,0.65560
1964-01-01,2.10828
1964-04-01,1.08870
1964-07-01,1.56230
1964-10-01,0.30889
1965-01-01,2.41977
1965-04-01,1.26327
1965-07-01,2.22327
1965-10-01,2.30404
1966-01-01,2.43423
1966-04-01,0.34162
1966-07-01,0.84691
1966-10-01,0.82037
1967-01-01,0.88559
1967-04-01,0.06127
1967-07-01,0.94613
1967-10-01,0.75402
1968-01-01,2.03949
1968-04-01,1.67081
1968-07-01,0.77497
1968-10-01,0.39330
1969-01-01,1.56511
1969-04-01,0.30401
1969-07-01,0.66051
1969-10-01,-0.48769
1970-01-01,-0.14848
1970-04-01,0.14192
1970-07-01,0.92158
1970-10-01,-1.07164
1971-01-01,2.71599
1971-04-01,0.54111
1971-07-01,0.82298
1971-10-01,0.23578
1972-01-01,1.83895
1972-04-01,2.26976
1972-07-01,0.94439
1972-10-01,1.67446
1973-01-01,2.47481
1973-04-01,1.08865
1973-07-01,-0.52590
1973-10-01,0.94923
1974-01-01,-0.85977
1974-04-01,0.23768
1974-07-01,-0.94513
1974-10-01,-0.38814
1975-01-01,-1.21730
1975-04-01,0.71454
1975-07-01,1.71166
1975-10-01,1.34651
1976-01-01,2.24876
1976-04-01,0.73370
1976-07-01,0.54872
1976-10-01,0.72485
1977-01-01,1.18149
1977-04-01,1.94411
1977-07-01,1.80435
1977-10-01,0.00219
1978-01-01,0.31918
1978-04-01,3.86425
1978-07-01,1.00552
1978-10-01,1.34415
1979-01-01,0.17978
1979-04-01,0.10693
1979-07-01,0.74287
1979-10-01,0.25007
1980-01-01,0.31452
1980-04-01,-2.06048
1980-07-01,-0.11885
1980-10-01,1.86493
1981-01-01,1.95944
1981-04-01,-0.74108
1981-07-01,1.19752
1981-10-01,-1.08955
1982-01-01,-1.55354
1982-04-01,0.45620
1982-07-01,-0.38230
1982-10-01,0.03994
1983-01-01,1.31785
1983-04-01,2.27561
1983-07-01,1.99907
1983-10-01,2.08622
1984-01-01,1.95477
1984-04-01,1.72779
1984-07-01,0.96406
1984-10-01,0.82086
1985-01-01,0.96909
1985-04-01,0.88046
1985-07-01,1.52712
1985-10-01,0.74329
1986-01-01,0.93350
1986-04-01,0.45038
1986-07-01,0.95703
1986-10-01,0.53708
1987-01-01,0.74517
1987-04-01,1.07890
1987-07-01,0.86761
1987-10-01,1.71705
1988-01-01,0.51663
1988-04-01,1.31387
1988-07-01,0.58593
1988-10-01,1.33250
1989-01-01,1.01660
1989-04-01,0.76327
1989-07-01,0.74088
1989-10-01,0.19705
1990-01-01,1.09279
1990-04-01,0.36291
1990-07-01,0.06652
1990-10-01,-0.91038
1991-01-01,-0.46784
1991-04-01,0.77972
1991-07-01,0.50530
1991-10-01,0.34850
1992-01-01,1.19705
1992-04-01,1.08435
1992-07-01,0.98827
1992-10-01,1.04316
1993-01-01,0.16740
1993-04-01,0.58242
1993-07-01,0.47731
1993-10-01,1.36011
1994-01-01,0.97022
1994-04-01,1.35505
1994-07-01,0.58452
1994-10-01,1.14552
1995-01-01,0.35476
1995-04-01,0.29834
1995-07-01,0.85068
1995-10-01,0.67902
1996-01-01,0.74895
1996-04-01,1.66785
1996-07-01,0.89699
1996-10-01,1.03838
1997-01-01,0.64556
1997-04-01,1.66200
1997-07-01,1.25085
1997-10-01,0.85882
1998-01-01,0.99948
1998-04-01,0.92581
1998-07-01,1.25257
1998-10-01,1.61588
1999-01-01,0.94647
1999-04-01,0.76916
1999-07-01,1.30966
1999-10-01,1.69959
2000-01-01,0.36176
2000-04-01,1.83116
2000-07-01,0.13356
2000-10-01,0.62289
2001-01-01,-0.28518
2001-04-01,0.58456
2001-07-01,-0.41504
2001-10-01,0.27237
2002-01-01,0.87451
2002-04-01,0.60573
2002-07-01,0.44457
2002-10-01,0.15482
2003-01-01,0.55477
2003-04-01,0.86026
2003-07-01,1.69821
2003-10-01,1.14817
2004-01-01,0.53375
2004-04-01,0.76208
2004-07-01,0.94533
2004-10-01,1.00167
2005-01-01,1.10696
2005-04-01,0.46156
2005-07-01,0.89133
2005-10-01,0.63146
2006-01-01,1.33029
2006-04-01,0.23370
2006-07-01,0.15463
2006-10-01,0.85187
2007-01-01,0.23549
2007-04-01,0.57287
2007-07-01,0.54327
2007-10-01,0.60784
2008-01-01,-0.57470
2008-04-01,0.51639
2008-07-01,-0.54136
2008-10-01,-2.16381
2009-01-01,-1.12270
2009-04-01,-0.14399
2009-07-01,0.36411
2009-10-01,1.09838
2010-01-01,0.38478
2010-04-01,0.92203
2010-07-01,0.73721
2010-10-01,0.50190
2011-01-01,-0.24044
2011-04-01,0.71497
2011-07-01,-0.02778
2011-10-01,1.15928
2012-01-01,0.78299
2012-04-01,0.43020
2012-07-01,0.13495
2012-10-01,0.11387
2013-01-01,0.88568
2013-04-01,0.12340
2013-07-01,0.78342
2013-10-01,0.79825
2014-01-01,-0.28271
2014-04-01,1.35368
2014-07-01,1.22093
2014-10-01,0.56279
2015-01-01,0.78482
2015-04-01,0.74136
2015-07-01,0.33066
2015-10-01,0.03253
2016-01-01,0.50339
2016-04-01,0.47035
2016-07-01,0.54229
2016-10-01,0.50272
2017-01-01,0.56678
2017-04-01,0.53440
2017-07-01,0.79080
2017-10-01,0.87486
