year,month,region,v_com,v_neg,v_neu,v_pos,t_sub,t_pol
1970,05,at,0.3071,0.066,0.871,0.063,0.42334193584193563,0.08660957098457098
1970,05,bo,0.8266,0.086,0.825,0.089,0.41601182314417595,0.034886696228608
1970,05,ch,0.122,0.099,0.811,0.091,0.44375326501908785,0.08809825195901147
1970,05,cl,0.8921,0.077,0.84,0.083,0.3976201430148798,0.02334173501936659
1970,05,da,0.4478,0.082,0.834,0.084,0.402003710575139,0.055607915893630185
1970,05,kc,0.9579,0.093,0.785,0.123,0.4503302549302548,0.06988330928330928
1970,05,mi,-0.9688,0.073,0.879,0.048,0.3093893480257115,-0.013251016660107574
1970,05,ny,0.2837,0.088,0.816,0.096,0.4209455580651233,0.13054324298889516
1970,05,ph,-0.9835,0.085,0.873,0.042,0.368799357208448,0.058607831562377026
1970,05,ri,-0.2049,0.054,0.89,0.056,0.3836185837971552,0.05709918058132344
1970,05,sf,0.965,0.09,0.788,0.123,0.41243875442739064,0.08857524104683197
1970,05,sl,0.9763,0.04,0.874,0.086,0.4320671834625323,0.12229328165374675
1970,05,su,-0.6848,0.088,0.85,0.062,0.32097680097680104,0.07279761904761903
1970,06,at,0.8689,0.057,0.882,0.061,0.45277186147186144,0.04332012987012988
1970,06,bo,0.9509,0.065,0.852,0.083,0.4317016250944822,0.08490126606198034
1970,06,ch,-0.9262,0.086,0.847,0.067,0.3977841206412634,0.014816136244707673
1970,06,cl,0.6624,0.07,0.854,0.076,0.41769863639761584,0.06495251347292164
1970,06,da,0.9532,0.056,0.867,0.077,0.3767021661466105,0.07399029982363316
1970,06,kc,0.9965,0.033,0.835,0.132,0.4464897091212879,0.11656209652920181
1970,06,mi,-0.2653,0.062,0.88,0.058,0.4013057009325665,0.06569614050957334
1970,06,ny,-0.7956,0.076,0.852,0.071,0.4207042022603246,0.08865811909179257
1970,06,ph,-0.9901,0.132,0.815,0.053,0.4390964062392634,0.0624594585308871
1970,06,ri,-0.9918,0.108,0.845,0.046,0.45715756465756463,0.07234293484293483
1970,06,sf,-0.9503,0.085,0.86,0.055,0.4088942561503537,0.08743598880794004
1970,06,sl,0.9955,0.052,0.819,0.129,0.3828916900093372,0.060063492063492034
1970,06,su,0.4302,0.067,0.863,0.07,0.4291111611161116,0.10244963782092492
1970,07,at,0.9012,0.067,0.858,0.076,0.421932966023875,0.08126459399186672
1970,07,bo,0.9771,0.064,0.831,0.105,0.3849457209457208,0.05577181152181152
1970,07,ch,-0.9647,0.11,0.81,0.08,0.3554513740228025,0.05636871065442491
1970,07,cl,0.9304,0.067,0.852,0.081,0.41176255031518183,0.06985698146882356
1970,07,da,0.9912,0.046,0.859,0.095,0.3352923520923521,0.039856277056277055
1970,07,kc,0.9686,0.074,0.833,0.092,0.36595537586103605,0.08033280922431867
1970,07,mi,-0.8858,0.071,0.867,0.062,0.40118580765639583,0.09502917833800185
1970,07,ny,0.9507,0.064,0.855,0.081,0.4170381751185322,0.05585755514326946
1970,07,ph,-0.9779,0.099,0.854,0.047,0.4091932457786116,-0.030415214866434368
1970,07,ri,-0.3189,0.094,0.815,0.092,0.43194655272577354,0.038828451490789145
1970,07,sf,-0.9955,0.147,0.799,0.054,0.3908092125739184,0.0974961095549331
1970,07,sl,0.9616,0.041,0.884,0.074,0.33103619544297513,-0.0030138293909480348
1970,07,su,-0.0607,0.074,0.86,0.065,0.44886171747873876,0.07281496576709343
1970,08,at,0.952,0.034,0.898,0.067,0.4731240981240977,0.07574264815644126
1970,08,bo,0.975,0.067,0.822,0.111,0.41438460964323026,0.09382277205553068
1970,08,ch,-0.9722,0.119,0.793,0.088,0.4124312246892892,0.09242406786761626
1970,08,cl,0.976,0.041,0.891,0.068,0.3421768344089771,0.06760534769463342
1970,08,da,-0.9894,0.082,0.878,0.04,0.367518949760329,0.05665816622713177
1970,08,kc,-0.9806,0.122,0.783,0.095,0.4242333105491001,0.02151325282904229
1970,08,mi,-0.7461,0.074,0.861,0.065,0.3852869352869351,0.0027930402930402883
1970,08,ny,0.9719,0.084,0.799,0.116,0.4269963097012277,0.05579678518203107
1970,08,ph,0.8905,0.037,0.897,0.066,0.4618930618930619,0.13763162513162513
1970,08,ri,0.9769,0.08,0.81,0.11,0.48750639730639733,0.06540990860990861
1970,08,sf,0.7626,0.098,0.792,0.11,0.3587877605090719,0.02386375464244316
1970,08,sl,0.9864,0.059,0.829,0.112,0.41116947728888026,0.03556495121793631
1970,08,su,0.946,0.068,0.843,0.09,0.4632004253056884,0.09056789701526544
1970,09,at,-0.9872,0.131,0.789,0.079,0.3819047619047618,0.056686507936507945
1970,09,bo,0.9897,0.09,0.776,0.134,0.39536710270405917,0.053015108381956236
1970,09,ch,0.7005,0.089,0.82,0.092,0.4376412938912939,0.05331289081289081
1970,09,cl,0.9894,0.033,0.861,0.106,0.49583694083694074,0.062463924963924965
1970,09,da,0.9073,0.086,0.82,0.094,0.4002561784207354,0.06884418324291743
1970,09,kc,0.9962,0.047,0.818,0.135,0.4359790872477439,0.13191763046240657
1970,09,mi,0.9699,0.045,0.888,0.068,0.36965737514518004,0.07359175377468057
1970,09,ny,0.9941,0.069,0.8,0.132,0.5104085005903187,0.07200682146136692
1970,09,ph,0.7369,0.095,0.801,0.104,0.39269655076106685,0.10248830470604665
1970,09,ri,0.9968,0.049,0.809,0.142,0.39889194980104065,0.013837618610345884
1970,09,sf,0.9907,0.078,0.798,0.124,0.42271803751803744,0.08026017316017318
1970,09,sl,0.8629,0.08,0.823,0.097,0.43119425547996976,-0.0156859410430839
1970,09,su,-0.5681,0.091,0.829,0.08,0.5161904761904761,-0.009619047619047617
1970,10,at,-0.9748,0.095,0.863,0.042,0.42296712296712297,0.015670703170703168
1970,10,bo,0.9201,0.048,0.875,0.077,0.3596601964343899,0.086507412838058
1970,10,ch,-0.6359,0.08,0.853,0.067,0.44695430495430494,0.0882852332852333
1970,10,cl,0.9194,0.071,0.857,0.072,0.3669479990908562,0.022395725967154535
1970,10,da,0.9884,0.026,0.88,0.094,0.391958324161714,0.028432937119377794
1970,10,kc,-0.9222,0.088,0.834,0.078,0.42395025698396477,0.05548514843458665
